Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S250267258,Eurasian Oystercatcher,Haematopus ostralegus,5786,X,NL-ZE,,L47598253,balade mer colocs,51.395977,3.561393,2025-06-14,,eBird - Casual Observation,,0,,,1
S269125815,Common Ringed Plover,Charadrius hiaticula,5831,X,FR-HDF,Pas-de-Calais,L51944994,"+ gros, pattes orange",50.8052686,1.6046061,2025-08-24,,eBird - Casual Observation,,0,,,1
S265977198,Little Ringed Plover,Thinornis dubius,5848,X,FR-PAC,Bouches-du-Rhône,L51232902,crie comme un ouf,43.4233147,5.1985717,2025-08-09,,eBird - Casual Observation,,0,,,1
S267745851,Northern Lapwing,Vanellus vanellus,5856,X,FR-GES,Marne,L51633726,avec Vince écoute,48.5696855,4.6931436,2025-08-17,,eBird - Casual Observation,,0,,,1
S328532959,Eurasian Whimbrel,Numenius phaeopus,6012,X,ES-AN,Sevilla,L64164606,"Aznalcázar, Andalucía, ES",37.0712711,-6.3171657,2026-04-27,,eBird - Casual Observation,,0,,,1
S250711934,Eurasian Curlew,Numenius arquata,6026,X,NL-ZE,,L47701574,zeeland Mathilde colocs,51.3957024,3.5549517,2025-06-15,,eBird - Casual Observation,,0,,,1
S271713187,Common Snipe,Gallinago gallinago,6099,X,BE-WAL,Hainaut,L52486473,"avec guide, H, longue vue",50.463831,3.6821221,2025-09-06,,eBird - Casual Observation,,0,,,1
S265889729,Common Sandpiper,Actitis hypoleucos,6125,X,FR-PAC,Bouches-du-Rhône,L51211338,pique nique après départ Hannah :'-(,43.4227333,5.1981859,2025-08-08,,eBird - Casual Observation,,0,,,1
S267740228,Green Sandpiper,Tringa ochropus,6128,X,FR-GES,Marne,L51617124,avec Vince,48.5698967,4.6899023,2025-08-17,,eBird - Casual Observation,,0,,,1
S265976936,Wood Sandpiper,Tringa glareola,6137,X,FR-PAC,Bouches-du-Rhône,L51232855,"me fonce dessus puis virage, 2e fois dans merlin",43.4237245,5.1984221,2025-08-09,,eBird - Casual Observation,,0,,,1
S265967327,Common Greenshank,Tringa nebularia,6152,X,FR-PAC,Bouches-du-Rhône,L51230920,réveil lendemain départ Hannah,43.422532,5.1984614,2025-08-09,,eBird - Casual Observation,,0,,,1
S213788340,Ruddy Turnstone,Arenaria interpres,6161,X,BE-VLG,West-Vlaanderen,L40306563,Ostende,51.2350273,2.920012,2025-02-16,,eBird - Casual Observation,,0,,,1
S327359064,Collared Pratincole,Glareola pratincola,6347,X,ES-AN,Cádiz,L63932392,ressemble à une sterne,36.6134412,-6.0499953,2026-04-25,,eBird - Casual Observation,,0,,,1
S269387684,Black-legged Kittiwake,Rissa tridactyla,6449,X,FR-HDF,Pas-de-Calais,L52002712,"repéré la veille, shazamé le matin",50.8060282,1.6037742,2025-08-25,,eBird - Casual Observation,,0,,,1
S250275119,Black-headed Gull,Chroicocephalus ridibundus,6474,X,NL-ZE,,L47598253,balade mer colocs,51.395977,3.561393,2025-06-14,,eBird - Casual Observation,,0,,,1
S326503734,Audouin's Gull,Ichthyaetus audouinii,6500,X,ES-AN,Cádiz,L63753391,"1er arrêt Gilles ""il n'y a rien à voir ici"" points sur la queue",36.0761758,-5.4275961,2026-04-24,,eBird - Casual Observation,,0,,,1
S234858133,European Herring Gull,Larus argentatus,6545,X,BE-VLG,West-Vlaanderen,L44437831,excursion Belgique,51.3056107,3.1044679,2025-05-09,,eBird - Casual Observation,,0,,,1
