X1 X2 X3 X4
"Ruddy Duck (jamaicensis)" "Oxyura jamaicensis jamaicensis" "Érismature rousse (jamaicensis)" "Espèce introduite"
"White-headed Duck" "Oxyura leucocephala" "Érismature à tête blanche" "En danger"
"Ruddy x White-headed Duck (hybrid)" "Oxyura [jamaicensis x leucocephala]" "Hybride Érismature rousse x É. à tête blanche" Rare/Accidentel
"Goose sp." Anserinae "Anserinae sp." 
"Swan sp." Cygnus "Cygne sp." 
"Mute Swan" "Cygnus olor" "Cygne tuberculé" 
"Whooper Swan" "Cygnus cygnus" "Cygne chanteur" 
"Whooper Swan (syn. cygnus)" "Cygnus cygnus (cygnus)" "Cygne chanteur (syn. cygnus)" 
"Whooper Swan (syn. islandicus)" "Cygnus cygnus (islandicus)" "Cygne d'Islande" Rare/Accidentel
"Tundra Swan" "Cygnus columbianus" "Cygne siffleur" 
"Tundra Swan (columbianus)" "Cygnus columbianus columbianus" "Cygne siffleur" Rare/Accidentel
"Tundra Swan (bewickii)" "Cygnus columbianus bewickii" "Cygne de Bewick" 
"Tundra Swan [bewickii x columbianus]" "Cygnus columbianus [bewickii x columbianus]" "Cygne siffleur [bewickii x columbianus]" Rare/Accidentel
"Tundra or Whooper Swan" "Cygnus [columbianus or cygnus]" "Cygne chanteur ou C. siffleur" 
"Trumpeter x Whooper Swan (hybrid)" "Cygnus [buccinator x cygnus]" "Hybride Cygne trompette x C. chanteur" Rare/Accidentel
"Trumpeter x Mute Swan (hybrid)" "Cygnus [buccinator x olor]" "Hybride Cygne tuberculé x C. trompette" Rare/Accidentel
"Whooper x Mute Swan (hybrid)" "Cygnus [cygnus x olor]" "Hybride Cygne tuberculé x C. chanteur" Rare/Accidentel
"Branta sp." Branta "Branta sp." 
"Canada or Cackling Goose" "Branta [canadensis or hutchinsii]" "Bernache du Canada" "Espèce introduite"
"Canada Goose" "Branta canadensis" "Bernache du Canada" "Espèce introduite"
"Canada Goose [canadensis, interior or parvipes]" "Branta canadensis [canadensis, interior or parvipes]" "Bernache du Canada [canadensis, interior ou parvipes]" 
"Canada Goose [parvipes/interior]" "Branta canadensis [parvipes or interior]" "Bernache du Canada [parvipes ou interior]" Rare/Accidentel
"Canada Goose [canadensis or interior]" "Branta canadensis [canadensis or interior]" "Bernache du Canada [canadensis ou interior]" "Espèce introduite"
"Canada Goose (canadensis)" "Branta canadensis canadensis" "Bernache du Canada (canadensis)" "Espèce introduite"
"Canada Goose (interior)" "Branta canadensis interior" "Bernache du Canada (interior)" 
"Canada Goose (parvipes)" "Branta canadensis parvipes" "Bernache du Canada (parvipes)" 
"Canada Goose [moffitti or maxima]" "Branta canadensis [moffitti or maxima]" "Bernache du Canada [moffitti ou maxima]" "Espèce introduite"
"Canada Goose [occidentalis or fulva]" "Branta canadensis [occidentalis or fulva]" "Bernache du Canada [occidentalis ou fulva]" Rare/Accidentel
"Canada Goose (occidentalis)" "Branta canadensis occidentalis" "Bernache du Canada (occidentalis)" "Espèce introduite"
"Cackling Goose" "Branta hutchinsii" "Bernache de Hutchins" Rare/Accidentel
"Cackling Goose [hutchinsii or taverneri]" "Branta hutchinsii [hutchinsii or taverneri]" "Bernache de Hutchins" "Espèce introduite"
"Cackling Goose (hutchinsii)" "Branta hutchinsii hutchinsii" "Bernache de Hutchins (hutchinsii)" "Espèce introduite"
"Cackling Goose (taverneri)" "Branta hutchinsii taverneri" "Bernache de Hutchins (taverneri)" "Espèce introduite"
"Cackling Goose [minima group]" "Branta hutchinsii [minima or asiatica]" "Bernache de Hutchins [minima ou asiatica]" "Origine incertaine"
"Cackling Goose (minima)" "Branta hutchinsii minima" "Bernache de Hutchins (minima)" "Origine incertaine"
"Barnacle Goose" "Branta leucopsis" "Bernache nonnette" 
"Brant Goose" "Branta bernicla" "Bernache cravant" 
"Brant Goose [bernicla or hrota]" "Branta bernicla [bernicla or hrota]" "Bernache cravant" 
"Brant Goose (bernicla)" "Branta bernicla bernicla" "Bernache cravant" 
"Brant Goose (hrota)" "Branta bernicla hrota" "Bernache à ventre pâle" 
"Brant Goose [nigricans or orientalis]" "Branta bernicla [nigricans or orientalis]" "Bernache du Pacifique" 
"Brant Goose (nigricans)" "Branta bernicla nigricans" "Bernache cravant (nigricans)" 
"Brant (Gray-bellied)" "Branta bernicla [intergrade]" "Hybride Bernache cravant sp." Rare/Accidentel
"Red-breasted Goose" "Branta ruficollis" "Bernache à cou roux" Vulnérable
"Snow x Canada Goose (hybrid)" "Anser caerulescens x Branta canadensis" "Hybride Oie des neiges x Bernache du Canada" Rare/Accidentel
"Brent x Barnacle Goose (hybrid)" "Branta [bernicla x leucopsis]" "Hybride Bernache nonnette x B. cravant" Rare/Accidentel
"Black x Atlantic Brant Intermediate" "Branta [bernicla x nigricans]" "Hybride Bernache cravant x B. du Pacifique" Rare/Accidentel
"Brant (intergrade)" "Branta [hrota x nigricans]" "Hybride Bernache à ventre pâle x B. du Pacifique" Rare/Accidentel
"Barnacle x Canada Goose (hybrid)" "Branta [leucopsis x canadensis]" "Hybride Bernache nonnette x B. du Canada" Rare/Accidentel
"Barnacle x Cackling Goose (hybrid)" "Branta [leucopsis x hutchinsii]" "Hybride Bernache nonnette x B. de Hutchins" Rare/Accidentel
"Barnacle x Red-breasted Goose (hybrid)" "Branta [leucopsis x ruficollis]" "Hybride Bernache nonnette x B. à cou roux" Rare/Accidentel
"Anser sp." Anser "Anser sp." 
"Pink-footed Goose" "Anser brachyrhynchus" "Oie à bec court" 
"Taiga Bean, Tundra Bean or Pink-footed Goose" "Anser [fabalis, serrirostris or brachyrhynchus]" "Oie des moissons" 
"Taiga or Tundra Bean Goose" "Anser [fabalis or serrirostris]" "Oie des moissons" 
"Taiga Bean Goose [incl. rossicus]" "Anser fabalis [incl. rossicus]" "Oie des moissons" 
"Taiga Bean Goose" "Anser fabalis" "Oie des moissons" 
"Taiga Bean Goose (fabalis)" "Anser fabalis [fabalis or johanseni]" "Oie des moissons [fabalis ou johanseni]" 
"Taiga Bean Goose (fabalis)" "Anser fabalis fabalis" "Oie des moissons (fabalis)" 
"Taiga Bean Goose [middendorffii or johanseni]" "Anser fabalis [middendorffii or johanseni]" "Oie des moissons [middendorffii ou johanseni]" 
"Taiga Bean Goose (johanseni)" "Anser fabalis johanseni" "Oie des moissons (johanseni)" 
"Tundra Bean Goose" "Anser serrirostris" "Oie de la toundra" 
"Tundra Bean Goose (serrirostris)" "Anser serrirostris serrirostris" "Oie de la toundra" 
"Tundra Bean Goose (serrirostris, sensu stricto)" "Anser serrirostris serrirostris (serrirostris)" "Oie de la toundra (serrirostris, sensu stricto)" "Nicheur endémique"
"Tundra Bean Goose (rossicus)" "Anser serrirostris rossicus" "Oie de la toundra (rossicus)" 
"Sushkin's Goose" "Anser neglectus"  
"Greater White-fronted Goose" "Anser albifrons" "Oie rieuse" 
"Greater White-fronted Goose (albifrons)" "Anser albifrons albifrons" "Oie rieuse (albifrons)" 
"Greater White-fronted Goose (flavirostris)" "Anser albifrons flavirostris" "Oie rieuse (flavirostris)" 
"Greater White-fronted Goose [gambelli, frontalis or sponsa]" "Anser albifrons [gambelli, frontalis or sponsa]" "Oie rieuse [gambelli, frontalis ou sponsa]" 
"Greater White-fronted Goose [gambelli or frontalis]" "Anser albifrons [gambelli or frontalis]" "Oie rieuse [gambelli ou frontalis]" 
"Greater White-fronted Goose (frontalis)" "Anser albifrons frontalis" "Oie rieuse (frontalis)" 
"Lesser White-fronted Goose" "Anser erythropus" "Oie naine" Vulnérable
"Greylag Goose" "Anser anser" "Oie cendrée" 
"Greylag Goose (anser)" "Anser anser anser" "Oie cendrée (anser)" 
"Greylag Goose (rubrirostris)" "Anser anser rubrirostris" "Oie cendrée (rubrirostris)" 
"Greylag Goose (domestic)" "Anser anser [var. domesticus]" "Oie cendrée (forme domestique)" 
"Bar-headed Goose" "Anser indicus" "Oie à tête barrée" "Espèce introduite"
"Snow Goose" "Anser caerulescens" "Oie des neiges" Rare/Accidentel
"Snow Goose (caerulescens)" "Anser caerulescens caerulescens" "Oie des neiges (caerulescens)" 
"Snow Goose (atlanticus)" "Anser caerulescens atlanticus" "Oie des neiges (atlanticus)" 
"Snow Goose (blue morph)" "Anser caerulescens [blue morph]" "Oie bleue" 
"Snow Goose (white morph)" "Anser caerulescens [white morph]" "Oie des neiges" 
"Ross's Goose" "Anser rossii" "Oie de Ross" Rare/Accidentel
"White-fronted or Lesser White-fronted Goose" "Anser [albifrons or erythropus]" "Oie rieuse ou O. naine" 
"Snow or Ross's Goose" "Anser [caerulescens or rossii]" "Oie des neiges ou O. de Ross" 
"Greater White-fronted x Greylag Goose (hybrid)" "Anser [albifrons x anser]" "Hybride Oie rieuse x O. cendrée" Rare/Accidentel
"White-fronted x Lesser White-fronted Goose (hybrid)" "Anser [albifrons x erythropus]" "Hybride Oie rieuse x O. naine" Rare/Accidentel
"White-fronted x Bar-headed Goose (hybrid)" "Anser [albifrons x indicus]" "Hybride Oie à tête barrée x O. rieuse" Rare/Accidentel
"Greater White-fronted x Tundra Bean Goose (hybrid)" "Anser [albifrons x serrirostris]"  Rare/Accidentel
"Greylag x Bean Goose (hybrid)" "Anser [anser x fabalis]" "Hybride Oie des moissons x O. cendrée" Rare/Accidentel
"Greater White-fronted x Snow Goose (hybrid)" "Anser [caerulescens x albifrons]" "Hybride Oie des neiges x O. rieuse" Rare/Accidentel
"Snow x Ross's Goose (hybrid)" "Anser [caerulescens x rossii]" "Hybride Oie des neiges x O. de Ross" Rare/Accidentel
"Bar-headed x Taiga Bean-Goose (hybrid)" "Anser [indicus x fabalis]" "Hybride Oie à tête barrée x O. des moissons" Rare/Accidentel
"White-fronted x Barnacle Goose (hybrid)" "Anser albifrons x Branta leucopsis" "Hybride Oie rieuse x Bernache nonnette" Rare/Accidentel
"Greylag x Canada Goose (hybrid)" "Anser anser x Branta canadensis" "Hybride Oie cendrée x Bernache du Canada" Rare/Accidentel
"Greylag x Barnacle Goose (hybrid)" "Anser anser x Branta leucopsis" "Hybride Oie cendrée x Bernache nonnette" Rare/Accidentel
"Pink-footed x Canada Goose (hybrid)" "Anser brachyrhynchus x Branta canadensis" "Hybride Oie à bec court x Bernache du Canada" Rare/Accidentel
"Snow Goose x Brant (hybrid)" "Anser caerulescens x Branta bernicla" "Hybride Oie des neiges x Bernache cravant" Rare/Accidentel
"Snow x Barnacle Goose (hybrid)" "Anser caerulescens x Branta leucopsis" "Hybride Oie des neiges x Bernache nonnette" Rare/Accidentel
"Emperor x Cackling Goose (hybrid)" "Anser canagicus x Branta hutchinsii" "Hybride Oie empereur x Bernache de Hutchins" Rare/Accidentel
"Emperor x Barnacle Goose (hybrid)" "Anser canagicus x Branta leucopsis" "Hybride Oie empereur x Bernache nonnette" Rare/Accidentel
"Swan (domestic) x Canada Goose (hybrid)" "Anser cygnoides domesticus x Branta canadensis" "Hybride Oie cygnoïde (domestique) x Bernache du Canada" Rare/Accidentel
"Lesser White-fronted x Barnacle Goose (hybrid)" "Anser erythropus x Branta leucopsis" "Hybride Oie naine x Bernache nonnette" Rare/Accidentel
"Bar-headed x Canada Goose (hybrid)" "Anser indicus x Branta canadensis" "Hybride Oie à tête barrée x Bernache du Canada" Rare/Accidentel
"Bar-headed x Barnacle Goose (hybrid)" "Anser indicus x Branta leucopsis" "Hybride Oie à tête barrée x Bernache nonnette" Rare/Accidentel
"Ross's x Canada Goose (hybrid)" "Anser rossii x Branta canadensis" "Hybride Oie de Ross x Bernache du Canada" Rare/Accidentel
"Ross's x Cackling Goose (hybrid)" "Anser rossii x Branta hutchinsii" "Hybride Oie de Ross x Bernache de Hutchins" Rare/Accidentel
"Canada x Domestic Goose" "Branta canadensis x Anser [var. domestica]" "Hybride Anser sp. (forme domestique) x Bernache du Canada" Rare/Accidentel
"Barnacle x Pink-footed Goose (hybrid)" "Branta leucopsis x Anser brachyrhynchus" "Hybride Oie à bec court x Bernache nonnette" Rare/Accidentel
"Greater White-fronted x Canada Goose (hybrid)" "Anser albifrons x Branta canadensis" "Hybride Oie rieuse x Bernache du Canada" Rare/Accidentel
"Long-tailed Duck" "Clangula hyemalis" "Harelde kakawi" Vulnérable
"Somateria sp." Somateria "Somateria sp." 
"Common Eider" "Somateria mollissima" "Eider à duvet" "Quasi menacé"
"Common Eider [mollissima or borealis]" "Somateria mollissima [mollissima or borealis]" "Eider à duvet" 
"Common Eider (mollissima)" "Somateria mollissima mollissima" "Eider à duvet (mollissima)" 
"Common Eider (borealis)" "Somateria mollissima borealis" "Eider à duvet (borealis)" 
"Common Eider (faeroeensis)" "Somateria mollissima faeroeensis" "Eider des Faroés" 
"Common Eider (v-nigrum)" "Somateria mollissima v-nigrum" "Eider à duvet (v-nigrum)" Rare/Accidentel
"Common Eider (dresseri)" "Somateria mollissima dresseri" "Eider à duvet (dresseri)" Rare/Accidentel
"King Eider" "Somateria spectabilis" "Eider à tête grise" 
"Spectacled Eider" "Somateria fischeri" "Eider à lunettes" "Rare/Accidentel Quasi menacé"
"King or Common Eider" "Somateria [spectabilis or mollissima]" "Eider à tête grise ou E. à duvet" 
"Common x King Eider (hybrid)" "Somateria [mollissima x spectabilis]" "Hybride Eider à tête grise x E. à duvet" Rare/Accidentel
"Steller's Eider" "Polysticta stelleri" "Eider de Steller" Vulnérable
"Melanitta sp." Melanitta "Melanitta sp." 
"Common or Black Scoter" "Melanitta [nigra or americana]" "Macreuse noire" 
"Common Scoter" "Melanitta nigra" "Macreuse noire" 
"Black Scoter" "Melanitta americana" "Macreuse à bec jaune" "Quasi menacé"
"Surf Scoter" "Melanitta perspicillata" "Macreuse à front blanc" Rare/Accidentel
"Velvet, White-winged or Siberian Scoter" "Melanitta [fusca, deglandi or stejnegeri]" "Macreuse brune" 
"Velvet Scoter" "Melanitta fusca" "Macreuse brune" Vulnérable
"White-winged or Siberian Scoter" "Melanitta [deglandi or stejnegeri]" "Macreuse à ailes blanches" Rare/Accidentel
"White-winged Scoter" "Melanitta deglandi" "Macreuse à ailes blanches" 
"White-winged Scoter (deglandi)" "Melanitta deglandi deglandi" "Macreuse à ailes blanches (deglandi)" 
"Siberian Scoter" "Melanitta stejnegeri" "Macreuse de Sibérie" 
"White-winged x Velvet Scoter (hybrid)" "Melanitta [deglandi x fusca]" "Hybride Macreuse ailes blanches x M. brune" Rare/Accidentel
"Bucephala sp." Bucephala "Bucephala sp." 
"Common Goldeneye" "Bucephala clangula" "Garrot à oeil d'or" 
"Common Goldeneye (clangula)" "Bucephala clangula clangula" "Garrot à oeil d'or (clangula)" 
"Common Goldeneye (americana)" "Bucephala clangula americana" "Garrot à oeil d'or (americana)" Rare/Accidentel
"Barrow's Goldeneye" "Bucephala islandica" "Garrot d'Islande" 
Bufflehead "Bucephala albeola" "Petit Garrot" Rare/Accidentel
"Common or Barrow's Goldeneye" "Bucephala [clangula or islandica]" "Garrot à oeil d'or ou G. d'Islande" 
Smew "Mergellus albellus" "Harle piette" 
"Hooded Merganser" "Lophodytes cucullatus" "Harle couronné" Rare/Accidentel
"Mergus sp." Mergus "Mergus sp." 
"Merganser sp. (Mergus)" "Mergus (Merganser)" "Merganser sp. (Mergus)" 
"Red-breasted Merganser" "Mergus serrator" "Harle huppé" 
"Red-breasted Merganser (serrator)" "Mergus serrator serrator" "Harle huppé (serrator)" 
"Red-breasted Merganser (schioleri)" "Mergus serrator schioleri" "Harle huppé (schioleri)" "Nicheur endémique"
"Common Merganser" "Mergus merganser" "Grand Harle" 
"Common Merganser [merganser or orientalis]" "Mergus merganser [merganser or orientalis]" "Grand Harle" 
"Common Merganser (merganser)" "Mergus merganser merganser" "Grand Harle (merganser)" 
"Common Merganser (americanus)" "Mergus merganser americanus" "Grand Harle (americanus)" Rare/Accidentel
"Common or Red-breasted Merganser" "Mergus [merganser or serrator]" "Grand Harle ou H. huppé" 
"Harlequin Duck" "Histrionicus histrionicus" "Arlequin plongeur" 
"Harlequin Duck (syn. histrionicus)" "Histrionicus histrionicus (histrionicus)" "Arlequin plongeur (syn. histrionicus)" 
"Harlequin Duck (syn. pacificus)" "Histrionicus histrionicus (pacificus)" "Arlequin plongeur (syn. pacificus)" 
"Merganser sp." "Mergellus, Lophodytes or Mergus sp." "Harle sp." 
"Eider sp." "Somateria or Polysticta" "Eider sp." 
"Common Goldeneye x Hooded Merganser (hybrid)" "Bucephala clangula x Lophodytes cucullatus" "Hybride Garrot à oeil d'or x Harle couronné" Rare/Accidentel
"Goldeneye x Smew (hybrid)" "Bucephala clangula x Mergellus albellus" "Hybride Garrot à oeil d'or x Harle piette" Rare/Accidentel
"goldeneye sp. x Hooded Merganser (hybrid)" "Bucephala clangula/islandica x Lophodytes cucullatus" "Hybride Garrot à oeil d'or ou G. d'Islande x Harle couronné" Rare/Accidentel
"Hooded Merganser x Smew (hybrid)" "Lophodytes cucullatus x Mergellus albellus" "Hybride Harle piette x H. couronné" Rare/Accidentel
"Hooded x Red-breasted Merganser (hybrid)" "Lophodytes cucullatus x Mergus serrator" "Hybride Harle couronné x H. huppé" Rare/Accidentel
"Upland Goose (leucoptera)" "Chloephaga picta leucoptera" "Petite Ouette de Magellan" "Origine incertaine"
"Egyptian Goose" "Alopochen aegyptiaca" "Ouette d'Égypte" 
"Tadorna sp." Tadorna "Tadorna sp." 
"Ruddy Shelduck" "Tadorna ferruginea" "Tadorne casarca" 
"Common Shelduck" "Tadorna tadorna" "Tadorne de Belon" 
"Ruddy x Common Shelduck (hybrid)" "Tadorna [ferruginea x tadorna]" "Hybride Tadorne casarca x T. de Belon" Rare/Accidentel
"Egyptian Goose x Ruddy Shelduck (hybrid)" "Alopochen aegyptiaca x Tadorna ferruginea" "Hybride Ouette d'Égypte x Tadorne casarca" Rare/Accidentel
"Marbled Teal" "Marmaronetta angustirostris" "Marmaronette marbrée" "Quasi menacé"
"Red-crested Pochard" "Netta rufina" "Nette rousse" 
"Aythya sp." Aythya "Aythya sp." 
"Fuligula sp. (Aythya)" "Aythya (Fuligula)" "Fuligula sp. (Aythya)" 
"Common Pochard" "Aythya ferina" "Fuligule milouin" Vulnérable
Canvasback "Aythya valisineria" "Fuligule à dos blanc" Rare/Accidentel
Redhead "Aythya americana" "Fuligule à tête rouge" Rare/Accidentel
"Ring-necked Duck" "Aythya collaris" "Fuligule à collier" Rare/Accidentel
"Ferruginous Pochard" "Aythya nyroca" "Fuligule nyroca" "Quasi menacé"
"Tufted Duck" "Aythya fuligula" "Fuligule morillon" 
"Greater Scaup" "Aythya marila" "Fuligule milouinan" 
"Greater Scaup (marila)" "Aythya marila marila" "Fuligule milouinan (marila)" 
"Greater Scaup (nearctica)" "Aythya marila nearctica" "Fuligule milouinan (nearctica)" Rare/Accidentel
"Lesser Scaup" "Aythya affinis" "Petit Fuligule" Rare/Accidentel
"Greater or Lesser Scaup" "Aythya [marila or affinis]" "Fuligule milouinan ou Petit Fuligule" 
"Lesser Scaup x Tufted Duck (hybrid)" "Aythya [affinis x fuligula]" "Hybride Fuligule morillon x Petit Fuligule" Rare/Accidentel
"Ring-necked x Tufted Duck (hybrid)" "Aythya [collaris x fuligula]" "Hybride Fuligule à collier x F. morillon" Rare/Accidentel
"Common Pochard x Tufted Duck (hybrid)" "Aythya [ferina x fuligula]" "Hybride Fuligule milouin x F. morillon" Rare/Accidentel
"Common Pochard x Common Scaup (hybrid)" "Aythya [ferina x marila]" "Hybride Fuligule milouin x F. milouinan" Rare/Accidentel
"Common x Ferruginous Pochard (hybrid)" "Aythya [ferina x nyroca]" "Hybride Fuligule milouin x F. nyroca" Rare/Accidentel
"Tufted Duck x Lesser or Greater Scaup (hybrid)" "Aythya [fuligula x marila/affinis]" "Hybride Fuligule morillon x F. milouinan ou Petit Fuligule" Rare/Accidentel
"Tufted Duck x Common Scaup (hybrid)" "Aythya [fuligula x marila]" "Hybride Fuligule morillon x F. milouinan" Rare/Accidentel
"Tufted Duck x Ferruginous Pochard (hybrid)" "Aythya [fuligula x nyroca]" "Hybride Fuligule nyroca x F. morillon" Rare/Accidentel
"American Redhead x Red-crested Pochard (hybrid)" "Aythya americana x Netta rufina" "Hybride Nette rousse x Fuligule à tête rouge" Rare/Accidentel
"Common x Red-crested Pochard (hybrid)" "Aythya ferina x Netta rufina" "Hybride Nette rousse x Fuligule milouin" Rare/Accidentel
"Tufted Duck x Red-crested Pochard (hybrid)" "Aythya fuligula x Netta rufina" "Hybride Nette rousse x Fuligule morillon" Rare/Accidentel
"Ferruginous x Red-crested Pochard (hybrid)" "Aythya nyroca x Netta rufina" "Hybride Nette rousse x Fuligule nyroca" Rare/Accidentel
Garganey "Spatula querquedula" "Sarcelle d'été" 
"Blue-winged Teal" "Spatula discors" "Sarcelle à ailes bleues" Rare/Accidentel
"Northern Shoveler" "Spatula clypeata" "Canard souchet" 
"Blue-winged or Cinnamon Teal" "Spatula [discors or cyanoptera]" "Sarcelle à ailes bleues ou S. cannelle" Rare/Accidentel
"Northern Shoveler x Garganey (hybrid)" "Spatula [clypeata x querquedula]" "Hybride Sarcelle d'été x Canard souchet" Rare/Accidentel
"Cinnamon Teal x Northern Shoveler (hybrid)" "Spatula [cyanoptera x clypeata]" "Hybride Sarcelle cannelle x Canard souchet" Rare/Accidentel
"Blue-winged Teal x Northern Shoveler (hybrid)" "Spatula [discors x clypeata]" "Hybride Sarcelle à ailes bleues x Canard souchet" Rare/Accidentel
"Blue-winged x Cinnamon Teal (hybrid)" "Spatula [discors x cyanoptera]" "Hybride Sarcelle à ailes bleues x S. cannelle" Rare/Accidentel
"Baikal Teal" "Sibirionetta formosa" "Sarcelle élégante" 
"Mareca sp." Mareca "Mareca sp." 
"Eurasian Wigeon" "Mareca penelope" "Canard siffleur" 
"American Wigeon" "Mareca americana" "Canard d'Amérique" Rare/Accidentel
"American Wigeon [Storm morph]" "Mareca americana [Storm morph]" "Canard d'Amérique [forme de Storm]" Rare/Accidentel
"Falcated Duck" "Mareca falcata" "Canard à faucilles" 
Gadwall "Mareca strepera" "Canard chipeau" 
"Gadwall (strepera)" "Mareca strepera strepera" "Canard chipeau (strepera)" 
"Eurasian or American Wigeon" "Mareca [penelope or americana]" "Canard siffleur ou C. d'Amérique" 
"American Wigeon x Gadwall (hybrid)" "Mareca [americana x strepera]" "Hybride Canard chipeau x C. d'Amérique" Rare/Accidentel
"Falcated Teal x Eurasian Wigeon (hybrid)" "Mareca [falcata x penelope]" "Hybride Canard siffleur x C. à faucilles" Rare/Accidentel
"American x Eurasian Wigeon (hybrid)" "Mareca [penelope x americana]" "Hybride Canard siffleur x C. d'Amérique" Rare/Accidentel
"Eurasian Wigeon x Gadwall (hybrid)" "Mareca [penelope x strepera]" "Hybride Canard chipeau x C. siffleur" Rare/Accidentel
"Anas sp." Anas "Anas sp." 
"Green-winged Teal" "Anas crecca" "Sarcelle d'hiver" 
"Green-winged Teal [crecca or nimia]" "Anas crecca [crecca or nimia]" "Sarcelle d'hiver [crecca ou nimia]" 
"Green-winged Teal (crecca)" "Anas crecca crecca" "Sarcelle d'hiver (crecca)" 
"Green-winged Teal (carolinensis)" "Anas crecca carolinensis" "Sarcelle d'hiver (carolinensis)" 
"Mallard, Mexican, Laysan, Hawaiian or Mottled Duck [incl. oustaleti]" "Anas platyrhynchos [sensu lato, incl. oustaleti]" "Canard colvert" 
"Mallard, Mexican, Laysan, Hawaiian or Mottled Duck" "Anas platyrhynchos [sensu lato]" "Canard colvert" 
"Mallard or Mexican Duck [incl. maculosa, oustaleti]" "Anas [platyrhynchos or diazi, incl. maculosa, oustaleti]" "Canard colvert" 
"Mallard or Mexican Duck [incl. oustaleti]" "Anas [platyrhynchos or diazi, incl. oustaleti]" "Canard colvert" 
"Mallard or Mexican Duck" "Anas [platyrhynchos or diazi]" "Canard colvert" 
"Mallard [incl. oustaleti]" "Anas platyrhynchos [incl. oustaleti]" "Canard colvert" 
Mallard "Anas platyrhynchos" "Canard colvert" 
"Mallard [platyrhynchos or conboschas]" "Anas platyrhynchos [platyrhynchos or conboschas]" "Canard colvert [platyrhynchos ou conboschas]" 
"Mallard (platyrhynchos)" "Anas platyrhynchos platyrhynchos" "Canard colvert (platyrhynchos)" 
"Mallard (conboschas)" "Anas platyrhynchos conboschas" "Canard colvert (conboschas)" 
"Mallard (domestic)" "Anas platyrhynchos [var. domesticus]" "Canard colvert (forme domestique)" "Espèce introduite"
"American Black Duck" "Anas rubripes" "Canard noir" Rare/Accidentel
"Spot-billed or Pacific Black Duck" "Anas [poecilorhyncha or superciliosa]" "Canard à bec tacheté" 
"Eastern Spot-billed Duck" "Anas zonorhyncha" "Canard de Chine" "Origine incertaine"
"Northern or Eaton's Pintail" "Anas [acuta or eatoni]" "Canard pilet" 
"Northern Pintail" "Anas acuta" "Canard pilet" 
"Northern Pintail (syn. acuta)" "Anas acuta (acuta)" "Canard pilet (syn. acuta)" 
"American Black Duck or Mallard" "Anas [rubripes or platyrhynchos]" "Canard noir ou C. colvert" 
"Teal sp." "Anas sp. (Teal sp.)" "Sarcelle sp." 
